posisi,tim,gameplay,poin,form
,,,,L
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
14,Udinese,38,40,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
15,Spezia,38,39,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
16,Cagliari,38,37,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
